index,x,y,z,roll,pitch,yaw
74,-4.06365,4.49209,1.75395,0.0534093, 0.0120913, 0.790959, 0.609414
75,-4.11769,4.4537,1.74654,0.0621361, 0.0140479, 0.8063, 0.588067
76,-4.16257,4.42266,1.73845,0.0671968, 0.0166884, 0.818691, 0.570045
77,-4.22276,4.36493,1.74334,0.064546, 0.0152638, 0.826972, 0.558317
78,-4.25681,4.32681,1.73958,0.0666755, 0.0112722, 0.840084, 0.538226
79,-4.29621,4.28273,1.74063,0.0718502, 0.0113774, 0.857388, 0.509503
80,-4.35217,4.24925,1.72796,0.069644, 0.00686287, 0.882643, 0.464805
81,-4.39756,4.23386,1.72996,0.0541369, 0.0170505, 0.907169, 0.41692
82,-4.5008,4.18967,1.73558,0.0264551, 0.026581, 0.931608, 0.361525
83,-4.56043,4.13934,1.73974,0.0254235, 0.0272316, 0.955392, 0.292983
84,-4.58988,4.07646,1.7362,0.0211396, 0.0162679, 0.971461, 0.235696
85,-4.59355,3.99238,1.72741,0.0244534, 0.0151593, 0.979413, 0.199807
86,-4.56533,3.91004,1.71643,0.0435535, 0.0253744, 0.981317, 0.185679
87,-4.53713,3.82847,1.7115,0.0609153, 0.0290863, 0.984663, 0.160877
88,-4.53618,3.76239,1.70882,0.0594672, 0.0296621, 0.988915, 0.132778
89,-4.55502,3.68361,1.70495,0.0454301, 0.0239932, 0.993542, 0.101166
90,-4.58349,3.60068,1.69359,0.0291636, 0.030567, 0.997283, 0.0603479
91,-4.61469,3.48663,1.69701,0.0183877, 0.02818, 0.99943, -0.00278389
92,-4.61511,3.391,1.69888,0.0179975, 0.0206049, 0.996268, -0.0818582
93,-4.59354,3.31003,1.69507,0.0147623, 0.00709103, 0.986984, -0.159983
94,-4.5505,3.25549,1.68653,0.0144053, 0.00722912, 0.977009, -0.212586
95,-4.46316,3.19547,1.67728,0.0193645, 0.0189673, 0.962171, -0.271096
96,-4.40011,3.17914,1.67984,0.0102954, 0.0283671, 0.944338, -0.327589
97,-4.33026,3.10818,1.67474,0.00596599, 0.0191709, 0.917516, -0.397192
98,-4.27769,3.07711,1.67223,0.00276115, 0.0101469, 0.885163, -0.465163
99,-4.21697,3.0355,1.66428,0.00856684, -0.00536036, -0.842007, 0.539372
100,-4.15313,3.00274,1.65679,0.026683, -0.00693974, -0.790902, 0.611321
