index,x,y,z,roll,pitch,yaw
122,-5.15113,4.23248,-0.298789,0.32764, 0.624505, -0.614927, -0.352861
123,-5.17615,4.21552,-0.332369,0.327616, 0.624524, -0.614951, -0.352806
124,-5.20137,4.19843,-0.366227,0.327611, 0.624545, -0.614964, -0.352751
125,-5.2268,4.18121,-0.400363,0.327618, 0.624556, -0.614983, -0.352693
126,-5.25244,4.16385,-0.434776,0.327634, 0.624562, -0.614998, -0.352642
127,-5.27828,4.14635,-0.469466,0.327644, 0.62457, -0.615008, -0.3526
128,-5.30433,4.12872,-0.504434,0.327671, 0.624582, -0.615005, -0.352559
129,-5.33058,4.11096,-0.53968,0.327709, 0.624583, -0.61501, -0.352513
130,-5.35705,4.09306,-0.575205,0.32775, 0.624602, -0.614994, -0.352469
131,-5.38371,4.07503,-0.611008,0.327805, 0.624613, -0.614982, -0.352419
132,-5.41058,4.05686,-0.647089,0.327869, 0.624632, -0.614956, -0.352373
133,-5.43766,4.03856,-0.683448,0.327943, 0.624633, -0.614945, -0.352321
134,-5.46494,4.02013,-0.720085,0.327997, 0.624646, -0.61493, -0.352274
135,-5.49243,4.00156,-0.756998,0.328066, 0.624656, -0.614918, -0.352212
136,-5.52012,3.98285,-0.794187,0.328115, 0.624673, -0.614899, -0.352169
137,-5.54802,3.964,-0.831653,0.328166, 0.624691, -0.614879, -0.352125
138,-5.57612,3.94502,-0.869394,0.328227, 0.624698, -0.61486, -0.352089
139,-5.60443,3.92591,-0.90741,0.328282, 0.624709, -0.614838, -0.352056
140,-5.63294,3.90666,-0.945701,0.328334, 0.624725, -0.614813, -0.352023
141,-5.66166,3.88727,-0.984267,0.328385, 0.624735, -0.61479, -0.351999
142,-5.69058,3.86775,-1.02311,0.328441, 0.624733, -0.614773, -0.35198
143,-5.71971,3.84809,-1.06222,0.328485, 0.624745, -0.614742, -0.351971
144,-5.74905,3.8283,-1.10161,0.328518, 0.624748, -0.614716, -0.35198
145,-5.77859,3.80837,-1.14128,0.328542, 0.624752, -0.614692, -0.351994
146,-5.80834,3.78831,-1.18122,0.328567, 0.624762, -0.614661, -0.352006
147,-5.83829,3.76811,-1.22143,0.3286, 0.624769, -0.614633, -0.352012
